Tank	Year	Count
Cavalier	1939	0
Cavalier	1940	0
Cavalier	1941	0
Cavalier	1942	0
Cavalier	1945	0
Centaur	1939	0
Centaur	1940	0
Centaur	1941	0
Centaur	1945	0
Cromwell	1939	0
Cromwell	1940	0
Cromwell	1941	0
Challenger	1939	0
Challenger	1940	0
Challenger	1941	0
Challenger	1942	0
Challenger	1943	0
Comet	1939	0
Comet	1940	0
Comet	1941	0
Comet	1942	0
Comet	1943	0
A.11 Infantry	1941	0
A.11 Infantry	1942	0
A.11 Infantry	1943	0
A.11 Infantry	1944	0
A.11 Infantry	1945	0
Valentine	1939	0
Valentine	1945	0
Valentine SP	1939	0
Valentine SP	1940	0
Valentine SP	1941	0
Valentine SP	1942	0
Valentine SP	1943	0
Valentine DD	1939	0
Valentine DD	1940	0
Valentine DD	1941	0
Valentine DD	1942	0
Valentine DD	1943	0
Valentine DD	1945	0
Churchill	1939	0
Churchill	1940	0
Churchill	1945	0
Light Mark VI 1	1941	0
Light Mark VI 1	1942	0
Light Mark VI 1	1943	0
Light Mark VI 1	1944	0
Light Mark VI 1	1945	0
Tetrarch	1939	0
Tetrarch	1943	0
Tetrarch	1944	0
Tetrarch	1945	0
Harry Hopkins	1939	0
Harry Hopkins	1940	0
Harry Hopkins	1941	0
Matilda	1944	0
Matilda	1945	0
Heavy Churchill	1939	0
Heavy Churchill	1940	0
Heavy Churchill	1941	0
Heavy Churchill	1942	0
A.9 Cruiser	1941	0
A.9 Cruiser	1942	0
A.9 Cruiser	1943	0
A.9 Cruiser	1944	0
A.9 Cruiser	1945	0
A.10 Cruiser	1942	0
A.10 Cruiser	1943	0
A.10 Cruiser	1944	0
A.10 Cruiser	1945	0
Cruiser III	1940	0
Cruiser III	1941	0
Cruiser III	1942	0
Cruiser III	1943	0
Cruiser III	1944	0
Cruiser III	1945	0
Cruiser IV	1942	0
Cruiser IV	1943	0
Cruiser IV	1944	0
Cruiser IV	1945	0
Covenanter	1939	0
Covenanter	1944	0
Covenanter	1945	0
Crusader	1939	0
Crusader	1944	0
Crusader	1945	0
Crusader Hulls	1939	0
Crusader Hulls	1940	0
Crusader Hulls	1941	0
Crusader Hulls	1942	0
Crusader Hulls	1944	0
Crusader Hulls	1945	0
Cavalier OP	1939	0
Cavalier OP	1940	0
Cavalier OP	1941	0
Cavalier OP	1942	0
Cavalier OP	1943	0
Cavalier OP	1945	0
Centaur AA	1939	0
Centaur AA	1940	0
Centaur AA	1941	0
Centaur AA	1942	0
Centaur AA	1943	0
Centaur AA	1945	0
Centaur Bulldozer	1939	0
Centaur Bulldozer	1940	0
Centaur Bulldozer	1941	0
Centaur Bulldozer	1942	0
Centaur Bulldozer	1943	0
Cromwell X/III	1939	0
Cromwell X/III	1940	0
Cromwell X/III	1941	0
Cromwell X/III	1942	0
Cromwell X/III	1944	0
Cromwell X/III	1945	0
Sherman DD	1939	0
Sherman DD	1940	0
Sherman DD	1941	0
Sherman DD	1942	0
Sherman DD	1943	0
Sherman DD	1945	0
Sherman 17-pdr	1939	0
Sherman 17-pdr	1940	0
Sherman 17-pdr	1941	0
Sherman 17-pdr	1942	0
Sherman 17-pdr	1943	0
M-10 17-pdr	1939	0
M-10 17-pdr	1940	0
M-10 17-pdr	1941	0
M-10 17-pdr	1942	0
M-10 17-pdr	1943	0
Cavalier	1943	375
Cavalier	1944	105
Centaur	1942	2
Centaur	1943	1252
Centaur	1944	274
Cromwell	1942	1
Cromwell	1943	421
Cromwell	1944	1935
Cromwell	1945	79
Challenger	1944	145
Challenger	1945	47
Comet	1944	143
Comet	1945	480
A.11 Infantry	1939	106
A.11 Infantry	1940	33
Valentine	1940	354
Valentine	1941	1621
Valentine	1942	2214
Valentine	1943	1798
Valentine	1944	280
Valentine SP	1944	349
Valentine SP	1945	178
Valentine DD	1944	247
Churchill	1941	690
Churchill	1942	1731
Churchill	1943	1360
Churchill	1944	495
Light Mark VI 1	1939	1182
Light Mark VI 1	1940	140
Tetrarch	1940	15
Tetrarch	1941	73
Tetrarch	1942	12
Harry Hopkins	1942	6
Harry Hopkins	1943	30
Harry Hopkins	1944	56
Harry Hopkins	1945	12
Matilda	1939	24
Matilda	1940	361
Matilda	1941	1040
Matilda	1942	1330
Matilda	1943	153
Heavy Churchill	1943	4
Heavy Churchill	1944	567
Heavy Churchill	1945	346
A.9 Cruiser	1939	76
A.9 Cruiser	1940	49
A.10 Cruiser	1939	1
A.10 Cruiser	1940	159
A.10 Cruiser	1941	10
Cruiser III	1939	65
Cruiser IV	1939	8
Cruiser IV	1940	257
Cruiser IV	1941	5
Covenanter	1940	9
Covenanter	1941	746
Covenanter	1942	986
Covenanter	1943	29
Crusader	1940	2
Crusader	1941	652
Crusader	1942	2340
Crusader	1943	1684
Crusader Hulls	1943	239
Cavalier OP	1944	17
Centaur AA	1944	149
Centaur Bulldozer	1944	74
Centaur Bulldozer	1945	23
Cromwell X/III	1943	111
Sherman DD	1944	693
Sherman 17-pdr	1944	1783
Sherman 17-pdr	1945	291
M-10 17-pdr	1944	790
M-10 17-pdr	1945	225
