Name,2-LETTER,2022_pop
.Alabama,AL,5074296
.Alaska,AK,733583
.Arizona,AZ,7359197
.Arkansas,AR,3045637
.California,CA,39029342
.Colorado,CO,5839926
.Connecticut,CT,3626205
.Delaware,DE,1018396
.District of Columbia,DC,671803
.Florida,FL,22244823
.Georgia,GA,10912876
.Hawaii,HI,1440196
.Idaho,ID,1939033
.Illinois,IL,12582032
.Indiana,IN,6833037
.Iowa,IA,3200517
.Kansas,KS,2937150
.Kentucky,KY,4512310
.Louisiana,LA,4590241
.Maine,ME,1385340
.Maryland,MD,6164660
.Massachusetts,MA,6981974
.Michigan,MI,10034113
.Minnesota,MN,5717184
.Mississippi,MS,2940057
.Missouri,MO,6177957
.Montana,MT,1122867
.Nebraska,NE,1967923
.Nevada,NV,3177772
.New Hampshire,NH,1395231
.New Jersey,NJ,9261699
.New Mexico,NM,2113344
.New York,NY,19677151
.North Carolina,NC,10698973
.North Dakota,ND,779261
.Ohio,OH,11756058
.Oklahoma,OK,4019800
.Oregon,OR,4240137
.Pennsylvania,PA,12972008
.Rhode Island,RI,1093734
.South Carolina,SC,5282634
.South Dakota,SD,909824
.Tennessee,TN,7051339
.Texas,TX,30029572
.Utah,UT,3380800
.Vermont,VT,647064
.Virginia,VA,8683619
.Washington,WA,7785786
.West Virginia,WV,1775156
.Wisconsin,WI,5892539
.Wyoming,WY,581381
