SOC	VBAT
0%	3.42698
1%	3.43402
2%	3.44186
3%	3.45027
4%	3.45902
5%	3.46829
6%	3.47712
7%	3.48513
8%	3.49275
9%	3.50009
10%	3.50701
11%	3.51346
12%	3.51958
13%	3.52528
14%	3.53067
15%	3.53574
16%	3.54035
17%	3.54482
18%	3.54883
19%	3.55276
20%	3.55641
21%	3.56004
22%	3.56351
23%	3.56697
24%	3.57031
25%	3.57363
26%	3.57696
27%	3.58030
28%	3.58366
29%	3.58709
30%	3.59051
31%	3.59412
32%	3.59776
33%	3.60139
34%	3.60503
35%	3.60859
36%	3.61211
37%	3.61575
38%	3.61959
39%	3.62341
40%	3.62716
41%	3.63103
42%	3.63524
43%	3.63965
44%	3.64437
45%	3.64941
46%	3.65465
47%	3.66023
48%	3.66601
49%	3.67196
50%	3.67818
51%	3.68486
52%	3.69176
53%	3.69903
54%	3.70659
55%	3.71487
56%	3.72334
57%	3.73185
58%	3.74050
59%	3.74941
60%	3.75860
61%	3.76784
62%	3.77713
63%	3.78631
64%	3.79543
65%	3.80457
66%	3.81379
67%	3.82302
68%	3.83226
69%	3.84149
70%	3.85072
71%	3.85997
72%	3.86924
73%	3.87857
74%	3.88804
75%	3.89770
76%	3.90727
77%	3.91673
78%	3.92627
79%	3.93596
80%	3.94570
81%	3.95549
82%	3.96530
83%	3.97515
84%	3.98504
85%	3.99526
86%	4.00572
87%	4.01623
88%	4.02679
89%	4.03756
90%	4.04850
91%	4.05945
92%	4.07021
93%	4.08101
94%	4.09265
95%	4.10473
96%	4.11783
97%	4.13218
98%	4.15133
99%	4.17532
100%	4.20000
